crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
The Prevention of Food Adulteration Act,40,24,0,64,0,0,0,0,0,0,0,0,0,28,10,38,38,0,0,26,100.0,40.6,2021
The Food Safety & Standards Act,452,604,0,1056,0,0,0,0,2,0,7,2,11,218,433,651,662,0,0,394,98.3,37.3,2021
"Food, Drugs and Essential Commodities Acts",4581,5751,3,10335,0,1,0,3,54,95,165,4,321,2219,3307,5526,5848,0,8,4487,94.5,43.4,2021
MACOCA/Control of Organised Crimes,83,60,0,143,0,0,0,0,0,0,2,0,2,56,8,64,66,0,0,77,97.0,53.8,2021
The Gambling Act,18306,164324,0,182630,0,1,1,0,10,36,188,40,274,13484,149567,163051,163326,8,1,19295,99.8,10.6,2021
The Electricity Act,64682,138513,2,203197,7,2,0,679,224,2649,11661,2412,17625,33782,49871,83653,101287,0,0,101910,82.6,50.2,2021
The Antiques and Art Treasures Act,45,18,0,63,0,1,0,0,0,0,1,0,1,12,3,15,17,0,0,46,88.2,73.0,2021
The Representation of the People Act,280,191,0,471,0,2,0,1,10,7,35,0,53,90,83,173,228,1,0,242,75.9,51.4,2021
The Bonded Labour System (Abolition) Act,341,592,0,933,0,0,0,0,34,31,81,1,147,57,394,451,598,0,0,335,75.4,35.9,2021
Against SC,201,525,0,726,0,0,0,0,32,30,80,0,142,35,372,407,549,0,0,177,74.1,24.4,2021
Against ST,59,41,0,100,0,0,0,0,1,1,1,0,3,10,13,23,26,0,0,74,88.5,74.0,2021
Against others,81,26,0,107,0,0,0,0,1,0,0,1,2,12,9,21,23,0,0,84,91.3,78.5,2021
The Prevention of Insults to National Honour Act,52,48,0,100,0,0,0,0,1,1,8,1,11,10,24,34,45,0,0,55,75.6,55.0,2021
Defacement of Public Property Acts,2441,5497,0,7938,0,0,0,0,14,37,167,0,218,346,2952,3298,3516,0,0,4422,93.8,55.7,2021
The Transplantation of Human Organs Act,3,6,0,9,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,7,50.0,77.8,2021
Transgender Persons (Protection of Rights) Act,1,7,0,8,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,6,100.0,75.0,2021
The Mental Health Act,106,367,0,473,0,0,1,0,139,85,53,26,303,1,4,5,308,0,0,164,1.6,34.7,2021
Motor Vehicle Act,9500,35089,2,44591,0,0,0,1,3,5,43,1,53,2789,31983,34772,34825,0,0,9766,99.8,21.9,2021
City/Town Police Acts,46962,51788,0,98750,0,0,0,0,0,8,36,24,68,6795,29947,36742,36810,0,1,61940,99.8,62.7,2021
Other State Local Acts,29420,404984,5,434409,1,15,0,2,506,1589,853,0,2950,18104,385890,403994,406960,28,160,27421,99.3,6.3,2021
Other Regulatory & Enforcement  Acts,172222,801484,9,973715,8,22,2,683,941,4448,13128,2505,21705,75526,650729,726255,747990,37,162,225686,97.1,23.2,2021
Other SLL Crimes,154821,252009,57,406887,2,56,15,68,887,3413,20708,216,25292,19045,173485,192530,217880,47,17,188945,88.4,46.4,2021
Total Cognizable SLL Crimes,697412,2432950,213,3130575,296,2300,31,942,5416,11915,69821,3394,91488,275993,1954434,2230427,2324511,153,3805,805880,96.0,25.7,2021
