crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
Prohibition Act (State),120663,678998,1,799662,284,145,1,6,80,145,5088,325,5644,69647,577586,647233,653306,0,442,146355,99.1,18.3,2021
The Excise Act,56936,335699,0,392635,0,1706,0,2,337,241,1623,42,2245,40506,301455,341961,345912,2,3059,46721,98.9,11.9,2021
The Narcotic Drugs & Psychotropic Substances Act,37070,78331,16,115417,0,33,0,1,112,118,939,26,1196,18836,52654,71490,72719,1,1,42697,98.3,37.0,2021
Possession of drugs for Personal use/Consumption,21856,46029,3,67888,0,1,0,0,59,41,540,9,649,9682,32823,42505,43155,0,0,24733,98.5,36.4,2021
Possession of drugs for Trafficking,15214,32302,13,47529,0,32,0,1,53,77,399,17,547,9154,19831,28985,29564,1,1,17964,98.0,37.8,2021
Liquor & Narcotic Drugs  Related Acts,214669,1093028,17,1307714,284,1884,1,9,529,504,7650,393,9085,128989,931695,1060684,1071937,3,3502,235773,99.0,18.0,2021
The Forest Act & The Forest Conservation Act,964,2292,0,3256,0,11,0,0,24,36,196,3,259,379,1678,2057,2327,0,0,929,88.4,28.5,2021
The Wildlife Protection Act,337,615,0,952,0,9,0,1,11,22,66,1,101,146,414,560,670,0,0,282,83.6,29.6,2021
The Environmental (Protection) Act,237,252,0,489,0,0,0,1,3,1,10,0,15,84,159,243,258,1,0,230,94.2,47.0,2021
The Air & The Water (Prevention & Control of Pollution) Act,22,55,0,77,0,0,0,0,1,0,3,0,4,4,51,55,59,0,0,18,93.2,23.4,2021
The Cigarette and Other Tobacco Products Act,13401,54024,0,67425,0,0,0,0,5,7,563,7,582,6065,42907,48972,49554,7,0,17864,98.8,26.5,2021
Noise Pollution Acts,122,7217,0,7339,0,0,0,0,0,4,5,0,9,52,7226,7278,7287,0,0,52,99.9,0.7,2021
The National Green Tribunal Act,79,16,0,95,0,0,0,0,0,4,7,0,11,49,6,55,66,0,0,29,83.3,30.5,2021
Environment & Pollution Related Acts,15162,64471,0,79633,0,20,0,2,44,74,850,11,981,6779,52441,59220,60221,8,0,19404,98.3,24.4,2021
The Registration of Foreigners Act & The Foreigners Act,523,1757,0,2280,0,2,0,0,7,16,27,0,50,153,1490,1643,1695,0,0,585,96.9,25.7,2021
